Map Container Profile (unit:ms)
TaskName,TaskID,Initailization,Input,SQLoperator,Sink,Spill,Starting Time,Ending Time,Cost Time,Node Locate
Map 17,attempt_1606874353529_0225_1_02_000046_0,18.8837,11926.2,4939.11,2943.62,4663.17,105220,129712,24492,16
Map 10,attempt_1606874353529_0225_1_00_000010_0,178.83,17007.8,4822.78,1401.7,2461.23,475,26358,25883,16
Map 10,attempt_1606874353529_0225_1_00_000000_0,181.969,13886.2,4816.01,1392.54,2062.79,549,22907,22358,16
Map 17,attempt_1606874353529_0225_1_02_000040_0,25.7767,6393.54,4344.94,2806.37,5157.45,81794,100523,18729,16
Map 17,attempt_1606874353529_0225_1_02_000005_0,20.7074,10466.7,5712.04,3162.93,6221.03,56097,81682,25585,16
Map 17,attempt_1606874353529_0225_1_02_000043_0,32.1053,32913.9,6126.11,3523.62,5211.11,101094,148901,47807,16
Map 10,attempt_1606874353529_0225_1_00_000055_0,25.391,23641.5,6083,1163.59,2121.2,22948,55984,33036,16
Map 17,attempt_1606874353529_0225_1_02_000051_0,106.385,11940.7,8256.44,3659.56,5676.42,118064,147711,29647,16
Map 1,attempt_1606874353529_0225_1_01_000019_0,23.5449,25447.2,3350.5,352.957,722.28,38707,68605,29898,17
Map 1,attempt_1606874353529_0225_1_01_000001_0,22.3429,1215.7,2810.55,355.922,1279.04,23949,29634,5685,17
Map 17,attempt_1606874353529_0225_1_02_000036_0,35.0371,61019,7900.23,2987.9,4762.14,68666,145371,76705,17
Map 10,attempt_1606874353529_0225_1_00_000041_0,25.6175,1704.4,4745.81,1020.05,1959.8,13917,23374,9457,17
Map 1,attempt_1606874353529_0225_1_01_000021_0,24.1091,988.725,2261.05,226.388,782.078,29751,34035,4284,17
Map 1,attempt_1606874353529_0225_1_01_000046_0,20.4234,892.302,2113.59,209.367,744.4,34148,38129,3981,17
Map 10,attempt_1606874353529_0225_1_00_000031_0,241.091,3585.99,4491.96,1843.03,2822.15,788,13787,12999,17
Map 10,attempt_1606874353529_0225_1_00_000008_0,25.1865,9654.86,3583.18,2095.49,2801.21,14611,32772,18161,17
Map 1,attempt_1606874353529_0225_1_01_000036_0,16.6469,660.171,1973.3,214.178,875.395,32795,36536,3741,17
Map 1,attempt_1606874353529_0225_1_01_000014_0,26.0426,21228.6,2930.54,317.451,704.183,37112,62320,25208,17
Map 17,attempt_1606874353529_0225_1_02_000021_0,19.4493,52232.8,6760.2,2991.29,5345.23,62335,129685,67350,17
Map 10,attempt_1606874353529_0225_1_00_000036_0,240.572,3267.01,5123.31,1808.69,2772.52,780,14012,13232,17
Map 17,attempt_1606874353529_0225_1_02_000016_0,22.7794,54292.6,7111.99,3102.99,5698.52,62045,132275,70230,17
Map 1,attempt_1606874353529_0225_1_01_000011_0,56.7753,1608.32,2367.52,266.213,797.173,28286,33383,5097,17
Map 10,attempt_1606874353529_0225_1_00_000021_0,251.772,3241.25,5636.29,1803.72,2517.28,864,14324,13460,17
Map 1,attempt_1606874353529_0225_1_01_000041_0,16.8938,655.672,1988.7,221.904,818.076,33496,37198,3702,17
Map 10,attempt_1606874353529_0225_1_00_000028_0,148.568,4283.96,4434.42,1322.02,3050.07,14932,28173,13241,17
Map 1,attempt_1606874353529_0225_1_01_000018_0,22.5734,20131.3,2999.03,324.029,778.416,37772,62028,24256,17
Map 25,attempt_1606874353529_0225_1_09_000002_0,21.0081,6227.36,937.322,178.101,1989.33,121142,130496,9354,18
Map 1,attempt_1606874353529_0225_1_01_000007_0,18.4194,636.234,1852.15,197.936,769.009,27917,31392,3475,18
Map 1,attempt_1606874353529_0225_1_01_000047_0,24.2919,568.095,3351.39,214.373,746.657,38936,43841,4905,18
Map 1,attempt_1606874353529_0225_1_01_000039_0,21.7295,30430.4,3024.83,325.183,2207.22,44404,80415,36011,18
Map 17,attempt_1606874353529_0225_1_02_000032_0,48.1129,26238.2,6707.11,2658.62,5039.68,80431,121125,40694,18
Map 1,attempt_1606874353529_0225_1_01_000012_0,15.568,734.545,1924.62,204.94,804.732,31499,35184,3685,18
Map 10,attempt_1606874353529_0225_1_00_000022_0,204.829,3360.38,3839.77,1485.36,2543.21,136,11579,11443,18
Map 10,attempt_1606874353529_0225_1_00_000003_0,25.5114,4839.61,3826.85,1143.62,2031.21,12199,24067,11868,18
Map 1,attempt_1606874353529_0225_1_01_000027_0,24.2317,651.292,1931.5,204.88,724.038,35292,38829,3537,18
Map 1,attempt_1606874353529_0225_1_01_000002_0,22.577,640.777,1970.58,208.49,786.35,24177,27807,3630,18
Map 10,attempt_1606874353529_0225_1_00_000046_0,18.9351,1891.84,2786.86,1798.03,2635.94,14040,23173,9133,17
Map 17,attempt_1606874353529_0225_1_02_000041_0,21.9761,34859.3,6019.56,3292.39,5170.34,100597,149961,49364,17
Map 17,attempt_1606874353529_0225_1_02_000001_0,24.8797,28441.5,5837.34,2635.37,6712.21,56910,100562,43652,17
Map 1,attempt_1606874353529_0225_1_01_000028_0,29.3247,8255.65,4491.44,336.314,817.239,42854,56785,13931,17
Map 10,attempt_1606874353529_0225_1_00_000026_0,204.999,3288.66,4873.69,1914.61,2847.51,767,13909,13142,17
Map 10,attempt_1606874353529_0225_1_00_000056_0,15.8454,14179.6,3379.12,388.689,571.991,23744,42280,18536,17
Map 10,attempt_1606874353529_0225_1_00_000027_0,226.035,2613.38,3791.09,1530.17,2404.45,97,10680,10583,18
Map 17,attempt_1606874353529_0225_1_02_000052_0,14.3889,18134.8,4574.01,1649.08,3858.19,107090,135321,28231,18
Map 17,attempt_1606874353529_0225_1_02_000012_0,21.1308,32318.4,6367.18,3450.01,5027.75,59900,107086,47186,18
Map 1,attempt_1606874353529_0225_1_01_000017_0,19.1351,648.884,1955.73,220.524,831.222,34708,38384,3676,18
Map 10,attempt_1606874353529_0225_1_00_000032_0,26.5592,1231.64,4000.97,1195.05,2042.35,10829,19328,8499,18
Map 1,attempt_1606874353529_0225_1_01_000033_0,30.8377,12664.2,2616.52,276.765,825.11,43380,59795,16415,18
Map 10,attempt_1606874353529_0225_1_00_000043_0,19.1601,8205.96,3528.22,1048.33,1876.83,19920,34600,14680,18
Map 1,attempt_1606874353529_0225_1_01_000042_0,21.0859,723.424,2130.96,225.406,1225.94,38490,42817,4327,18
Map 10,attempt_1606874353529_0225_1_00_000023_0,28.6284,36678.6,5316.49,1243.95,1921,14745,59935,45190,17
Map 10,attempt_1606874353529_0225_1_00_000011_0,268.011,3745.44,4627.56,1828.43,2736.35,910,14147,13237,17
Map 17,attempt_1606874353529_0225_1_02_000011_0,25.112,52270,6845.8,2663.85,4762.52,60004,126573,66569,17
Map 17,attempt_1606874353529_0225_1_02_000007_0,26.6049,20042,4993.15,3358.9,5648.66,59426,93497,34071,18
Map 10,attempt_1606874353529_0225_1_00_000053_0,24.3023,16791.1,3816.79,1394.41,2440.69,21562,46030,24468,18
Map 17,attempt_1606874353529_0225_1_02_000042_0,17.2556,26723.2,5014.74,2984.14,4447.43,93512,132699,39187,18
Map 10,attempt_1606874353529_0225_1_00_000052_0,100.342,1823.83,4402.83,1183.95,2228.59,11252,20994,9742,18
Map 1,attempt_1606874353529_0225_1_01_000040_0,28.5851,8883.21,2690.71,288.407,830.71,46596,59319,12723,18
Map 10,attempt_1606874353529_0225_1_00_000012_0,234.049,2690.47,3743.01,1581.47,2876.47,52,11187,11135,18
Map 1,attempt_1606874353529_0225_1_01_000013_0,18.4376,1698.04,2190.12,235.949,797.131,35799,40740,4941,17
Map 17,attempt_1606874353529_0225_1_02_000026_0,20.5434,50891.9,6807.08,2755.3,5484.11,66254,132214,65960,17
Map 10,attempt_1606874353529_0225_1_00_000030_0,90.7221,6112.65,4195.18,1463.88,2740.96,15026,29632,14606,17
Map 1,attempt_1606874353529_0225_1_01_000016_0,27.5237,1896.07,2487.25,257.448,810.846,29748,35228,5480,17
Map 10,attempt_1606874353529_0225_1_00_000016_0,250.055,3067.5,6310.24,1546.84,2395.69,843,14424,13581,17
Map 1,attempt_1606874353529_0225_1_01_000023_0,19.7604,20659.5,3097.44,334.629,793.511,41312,66218,24906,17
Map 17,attempt_1606874353529_0225_1_02_000037_0,19.7798,32822.8,5872.01,2642.87,4597.77,88942,134898,45956,18
Map 10,attempt_1606874353529_0225_1_00_000042_0,31.7411,1720.35,3383.83,1149.35,1910.89,11153,19349,8196,18
Map 10,attempt_1606874353529_0225_1_00_000017_0,214.188,2662.04,3994.04,1498.2,2389.68,253,11019,10766,18
Map 10,attempt_1606874353529_0225_1_00_000045_0,20.8427,23587.5,4181.47,1111.18,1903.97,19920,50726,30806,18
Map 17,attempt_1606874353529_0225_1_02_000002_0,20.3537,22678.9,5083.26,3981.73,6436.56,50734,88935,38201,18
Map 1,attempt_1606874353529_0225_1_01_000038_0,25.7896,898.287,2142.21,227.456,919.89,44253,48468,4215,17
